project_number,hdp_id,project_title,crf_name,heal_crf_id,source,input_path
1R61DK135406 - 01,HDP00904,PAINED: Project Addressing INequities in the Emergency Department,Pain Intensity (choice=BPI Pain Severity),HEALCDE:bpi-pain-severity,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61DK135406 - 01,HDP00904,PAINED: Project Addressing INequities in the Emergency Department,Pain Interference (choice=BPI Pain Interference (Copyrighted)),HEALCDE:bpi-pain-interference,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Adult Responses to Children - Protect Subscale (ARCS),HEALCDE:arcs-protect,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Chronic Pain Acceptance Questionnaire for Adolescents 8 item- CPAQ A8,HEALCDE:cpaq-a8,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Demographics (choice=Child Demographics),HEALCDE:pediatric-demographic,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Functional Disability Index Child- FDI,HEALCDE:functional-disability-index-pediatric,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,GAD Ped (choice=Generalized Anxiety Disorder (GAD) - 2 item),HEALCDE:gad2,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,PGIC Ped (choice=Patient Global Impression of Change (PGIC)),HEALCDE:pgic,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,PHQ Ped (choice=Patient Health Questionnaire (PHQ) - 2 item),HEALCDE:phq2,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pain Catastrophizing (Administered to Child) (choice=Pain Catastrophizing Scale for Children),HEALCDE:pcs-child,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pain Catastrophizing (Administered to Parent) (choice=Pain Catastrophizing),HEALCDE:pcs-parent,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
